date,count,MA_5,MA_15
2023-04-21,7,7.0,7.0
2023-04-24,10,8.5,8.5
2023-04-25,8,8.3,8.3
2023-04-26,8,8.2,8.2
2023-04-27,5,7.6,7.6
2023-04-28,19,10.0,9.5
2023-05-01,31,14.2,12.6
2023-05-02,14,15.4,12.8
2023-05-03,21,18.0,13.7
2023-05-04,14,19.8,13.7
2023-05-05,22,20.4,14.5
2023-05-08,12,16.6,14.2
2023-05-09,13,16.4,14.2
2023-05-10,14,15.0,14.1
2023-05-11,11,14.4,13.9
2023-05-12,10,12.0,14.1
2023-05-15,14,12.4,14.4
2023-05-16,10,11.8,14.5
2023-05-17,16,12.2,15.1
2023-05-18,15,13.0,15.7
2023-05-19,10,13.0,15.1
2023-05-22,22,14.6,14.5
2023-05-23,8,14.2,14.1
2023-05-24,10,13.0,13.4
2023-05-25,8,11.6,13.0
2023-05-26,19,13.4,12.8
2023-05-30,9,10.8,12.6
2023-05-31,7,10.6,12.2
2023-06-01,9,10.4,11.9
2023-06-02,11,11.0,11.9
2023-06-05,3,7.8,11.4
2023-06-06,12,8.4,11.3
2023-06-07,8,8.6,11.1
2023-06-08,10,8.8,10.7
2023-06-09,6,7.8,10.1
2023-06-12,17,10.6,10.6
2023-06-13,7,9.6,9.6
2023-06-14,6,9.2,9.5
2023-06-15,7,8.6,9.3
2023-06-16,18,11.0,9.9
2023-06-20,8,9.2,9.2
2023-06-21,10,9.8,9.3
2023-06-22,13,11.2,9.7
2023-06-23,9,11.6,9.7
2023-06-26,6,9.2,9.3
2023-06-27,4,8.4,9.4
2023-06-28,13,9.0,9.5
2023-06-29,4,7.2,9.2
2023-06-30,8,7.0,9.1
2023-07-03,10,7.8,9.3
2023-07-05,10,9.0,8.9
2023-07-06,7,7.8,8.9
2023-07-07,12,9.4,9.3
2023-07-10,12,10.2,9.6
2023-07-11,16,11.4,9.5
2023-07-12,13,12.0,9.8
2023-07-13,16,13.8,10.2
2023-07-14,6,12.6,9.7
2023-07-17,11,12.4,9.9
2023-07-18,7,10.6,9.9
2023-07-19,9,9.8,10.3
