date,count,MA_5,MA_15
2023-04-18,223,223.0,223.0
2023-04-19,210,216.5,216.5
2023-04-20,210,214.3,214.3
2023-04-21,222,216.2,216.2
2023-04-24,238,220.6,220.6
2023-04-25,252,226.4,225.8
2023-04-26,258,236.0,230.4
2023-04-27,257,245.4,233.8
2023-04-28,255,252.0,236.1
2023-05-01,246,253.6,237.1
2023-05-02,263,255.8,239.5
2023-05-03,274,259.0,242.3
2023-05-04,287,265.0,245.8
2023-05-05,278,269.6,248.1
2023-05-08,279,276.2,250.1
2023-05-09,268,277.2,253.1
2023-05-10,258,274.0,256.3
2023-05-11,258,268.2,259.5
2023-05-12,264,265.4,262.3
2023-05-15,250,259.6,263.1
2023-05-16,260,258.0,263.7
2023-05-17,266,259.6,264.2
2023-05-18,253,258.6,263.9
2023-05-19,246,255.0,263.3
2023-05-23,219,248.8,261.5
2023-05-24,214,239.6,258.3
2023-05-25,226,231.6,255.1
2023-05-26,215,224.0,250.3
2023-05-29,214,217.6,246.0
2023-05-30,225,218.8,242.4
2023-05-31,217,219.4,239.0
2023-06-01,210,216.2,235.8
2023-06-02,201,213.4,232.0
2023-06-05,190,208.6,227.1
2023-06-06,183,200.2,222.6
2023-06-07,183,193.4,217.5
2023-06-08,166,184.6,210.8
2023-06-09,158,176.0,204.5
2023-06-12,149,167.8,198.0
2023-06-13,137,158.6,192.5
2023-06-14,131,148.2,187.0
2023-06-15,137,142.4,181.1
2023-06-16,123,135.4,174.9
2023-06-19,118,129.2,168.5
2023-06-20,136,129.0,162.6
2023-06-21,129,128.6,156.7
2023-06-22,128,126.8,151.3
2023-06-23,135,129.2,146.9
2023-06-26,139,133.4,143.5
2023-06-27,137,133.6,140.4
2023-06-28,142,136.2,137.7
2023-06-29,138,138.2,135.8
2023-06-30,134,138.0,134.2
2023-07-03,132,136.6,133.1
2023-07-04,123,133.8,132.1
2023-07-05,116,128.6,131.1
2023-07-06,124,125.8,130.3
2023-07-10,115,122.0,129.7
2023-07-11,122,120.0,130.0
2023-07-12,116,118.6,128.7
2023-07-13,125,120.4,128.4
2023-07-14,133,122.2,128.7
2023-07-17,133,125.8,128.6
